ダウンロードした時刻：2023/11/18 12:20:53,,,,,
,,,,,
,船橋,船橋,船橋,船橋,船橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm)
,,,,,
,,,,,
2022/11/17,11.7,17.1,6.5,0,0
2022/11/18,12,17.9,8,0,0
2022/11/19,12.4,18.1,6.1,0,0
2022/11/20,11.2,13.9,8.9,5.5,5.5
2022/11/21,12.9,17.2,10.8,3.5,3.5
2022/11/22,14.7,19.6,8.8,0,0
2022/11/23,11.7,14,10.1,35,35
2022/11/24,14.9,20.4,9,0,0
2022/11/25,13.1,17.7,8.9,0,0
2022/11/26,12.2,15.4,9.5,4,4
2022/11/27,12.8,18.9,8.4,0,0
2022/11/28,11,14,7.2,0,0
2022/11/29,16.7,22.1,9.5,10,10
2022/11/30,16.7,20,11.8,13,13
2022/12/1,9.6,12.6,7.6,0,0
2022/12/2,8.3,12,5.2,0,0
2022/12/3,7.1,11,4.3,0,0
2022/12/4,9.1,14.9,3.2,0,0
2022/12/5,7,8.9,5.2,17.5,17.5
2022/12/6,5.5,7.8,3.9,8.5,8.5
2022/12/7,7.3,14.4,1.4,0,0
2022/12/8,8.4,14.8,2.8,0,0
2022/12/9,8.3,13.2,3.7,0,0
2022/12/10,9.7,16.1,4.5,0,0
2022/12/11,8.8,14.2,5.4,0,0
2022/12/12,7.7,11.3,5,0,0
2022/12/13,6.2,9.6,4.1,3.5,3.5
2022/12/14,9.3,14.8,4.1,0,0
2022/12/15,5.9,11.4,2.2,0,0
2022/12/16,7.2,13.9,0.5,0,0
2022/12/17,5.7,7.6,4.2,4,4
2022/12/18,5.8,10.6,0,1.5,1.5
2022/12/19,4.9,9.1,-0.1,0,0
2022/12/20,4.2,10.6,-1.5,0,0
2022/12/21,5.8,10.4,1.8,0.5,0.5
2022/12/22,7.3,12.6,4.4,11.5,11.5
2022/12/23,6,9.7,2.6,0,0
2022/12/24,6.3,11.2,1.9,0,0
2022/12/25,7.3,12.6,3.4,0,0
2022/12/26,5.8,10.9,1.4,0,0
2022/12/27,6.2,12.2,0.9,0,0
2022/12/28,5.7,12.3,1.1,0,0
2022/12/29,7.2,13.8,0.7,0,0
2022/12/30,5,11.1,0.3,0,0
2022/12/31,3.9,9.4,0.2,0,0
2023/1/1,5.5,12.2,-1.1,0,0
2023/1/2,5.2,10.9,-0.1,0,0
2023/1/3,5.3,11,0.6,0,0
2023/1/4,5.1,11,-0.6,0,0
2023/1/5,5.2,10,0.9,0,0
2023/1/6,4.4,9.7,-1.8,0,0
2023/1/7,5.5,10.2,1.7,0,0
2023/1/8,6.1,12.2,0.6,0,0
2023/1/9,7.4,13.1,2.3,0,0
2023/1/10,5.9,8.5,1.7,0,0
2023/1/11,4.3,11.2,-1.4,0,0
2023/1/12,5.1,12.4,0.2,0,0
2023/1/13,7.7,14.3,0.8,0,0
2023/1/14,10.1,14.5,8,2,2
2023/1/15,9.8,11.7,7.6,4,4
2023/1/16,6,7.6,3.6,6.5,6.5
2023/1/17,3.7,6,-0.5,1.5,1.5
2023/1/18,7,11.5,3.5,0,0
2023/1/19,5.8,8.2,2.1,0,0
2023/1/20,7.5,11.4,4,1,1
2023/1/21,5.4,8.4,2.9,0,0
2023/1/22,4.1,8.6,1.2,0,0
2023/1/23,3.9,6.1,2.3,3,3
2023/1/24,4.2,10.8,-1.3,1.5,1.5
2023/1/25,-0.7,2.8,-2.7,0,0
2023/1/26,2,7.3,-5.2,0,0
2023/1/27,2.9,5.9,0.8,1,1
2023/1/28,3.1,7.5,-1,0,0
2023/1/29,2.6,7.9,-3.3,0,0
2023/1/30,3.4,10.2,-2.3,0,0
2023/1/31,3.6,8.3,-0.2,0,0
2023/2/1,6.4,12.3,-2.5,0,0
2023/2/2,6.3,9,4.4,0,0
2023/2/3,4.4,5.6,2.8,0,0
2023/2/4,5.9,11.9,1.2,0,0
2023/2/5,5.5,12,-1.3,0,0
2023/2/6,6.8,13.5,1.8,0,0
2023/2/7,9.6,14.8,5.4,0,0
2023/2/8,8.5,11.9,5.6,0,0
2023/2/9,6,10.4,2,0,0
2023/2/10,1.7,3.2,0.4,17,17
2023/2/11,8.3,12.6,3.2,0,0
2023/2/12,10.4,15.1,4.9,0,0
2023/2/13,7.6,10.6,4.5,16.5,16.5
2023/2/14,4.8,9.9,2.3,0,0
2023/2/15,3.1,7.2,0.3,0,0
2023/2/16,2.6,8.4,-3.6,0,0
2023/2/17,4.9,11.4,-0.1,0,0
2023/2/18,7.9,14.1,1.3,0,0
2023/2/19,11.6,16.9,7.1,0,0
2023/2/20,8.5,13.1,2.4,3.5,3.5
2023/2/21,4.1,8,1.7,0,0
2023/2/22,4.8,10,-1.2,0,0
2023/2/23,8.1,14.7,4.2,0,0
2023/2/24,8.5,11.7,5.1,0.5,0.5
2023/2/25,7.2,11.7,4.2,0,0
2023/2/26,5.8,10.1,1.5,0,0
2023/2/27,8.1,14.1,1.8,0,0
2023/2/28,11.2,17,2.5,0,0
2023/3/1,13.6,17.6,7.5,0,0
2023/3/2,12.2,19.1,5.3,0,0
2023/3/3,7,12.2,0.7,0,0
2023/3/4,10.1,16.8,4.3,0,0
2023/3/5,9.2,12.6,5.8,0,0
2023/3/6,9.1,13,6.6,2.5,2.5
2023/3/7,11.4,17.9,4.7,0,0
2023/3/8,13.1,19.8,5.5,0,0
2023/3/9,14.8,21.8,7.7,0,0
2023/3/10,16.7,21.2,11.5,0,0
2023/3/11,13.6,21.1,7.5,0,0
2023/3/12,13.7,19.7,8,0,0
2023/3/13,14.1,19.1,9.3,4,4
2023/3/14,8.8,13.3,5,2,2
2023/3/15,11.5,17.3,6.3,0,0
2023/3/16,13.8,20,6.7,0,0
2023/3/17,11.9,14.2,9.5,0,0
2023/3/18,7.9,9.6,6.8,28.5,28.5
2023/3/19,9.1,15,3.6,0,0
2023/3/20,12.4,18.2,5.2,0,0
2023/3/21,14.2,18.1,9.5,0,0
2023/3/22,16.6,22.7,11.8,0,0
2023/3/23,16.7,19.4,13.7,14.5,14.5
2023/3/24,18.2,23,13.8,10,10
2023/3/25,10.8,13.8,9.8,22.5,22.5
2023/3/26,11.5,13.4,9.6,15,15
2023/3/27,13.1,16.6,10.7,0,0
2023/3/28,10.1,12.9,8.5,1.5,1.5
2023/3/29,12.1,17.1,6.9,0.5,0.5
2023/3/30,14,19.2,10.2,1,1
2023/3/31,14.7,19.3,9.8,0,0
2023/4/1,15,21.8,8.7,0,0
2023/4/2,13.9,17.4,10.2,0,0
2023/4/3,11.9,16.4,8.2,0,0
2023/4/4,13.4,20.4,6.3,0,0
2023/4/5,15.6,20.8,8.9,0,0
2023/4/6,17.7,21,15.9,0,0
2023/4/7,18.7,21.5,17.1,5,5
2023/4/8,14.8,19.4,9.1,2.5,2.5
2023/4/9,11.6,17,6.7,0,0
2023/4/10,14,19.6,6.1,0,0
2023/4/11,17.9,22.9,11.4,0,0
2023/4/12,18.2,22.3,13,0,0
2023/4/13,15.6,21.1,9.9,0,0
2023/4/14,18.1,21.1,15,0,0
2023/4/15,14.7,17.6,13,30,30
2023/4/16,16.7,23.7,13.1,2.5,2.5
2023/4/17,15.2,20.2,10.1,0.5,0.5
2023/4/18,13.5,20.4,8.7,0,0
2023/4/19,17.4,24.9,10,0,0
2023/4/20,19.6,25.3,15.7,0,0
2023/4/21,20.7,26.1,17.9,0,0
2023/4/22,14.8,17.9,11.4,0,0
2023/4/23,13.9,19.5,9.4,0,0
2023/4/24,13,16.6,10.9,0,0
2023/4/25,14.1,17.9,8.4,0,0
2023/4/26,16.1,20.6,12.8,7.5,7.5
2023/4/27,17.1,23.1,12.2,0,0
2023/4/28,18.3,22.4,14.5,0,0
2023/4/29,19.2,23.2,15.6,1,1
2023/4/30,19.3,21.5,16.4,2,2
2023/5/1,17.5,23.2,12.6,4,4
2023/5/2,16.5,22.3,9.8,0,0
2023/5/3,17.4,23.1,10.3,0,0
2023/5/4,19.6,24.6,14.8,0,0
2023/5/5,20.3,24.5,17.3,0,0
2023/5/6,22,25.7,19.1,0,0
2023/5/7,16.7,21,12.6,67,67
2023/5/8,12.6,14.8,9.8,80,80
2023/5/9,14.1,19.3,9.2,0,0
2023/5/10,17,24.9,9.6,0,0
2023/5/11,15.7,21.5,12.7,2.5,2.5
2023/5/12,16.5,21,11.4,0,0
2023/5/13,17.4,20.4,15.8,1,1
2023/5/14,17.3,22,14.2,5,5
2023/5/15,16.8,19.7,15,2.5,2.5
2023/5/16,19.2,26.7,13.4,0,0
2023/5/17,21.7,29.5,13.6,0,0
2023/5/18,24.6,34.7,17.6,0,0
2023/5/19,20.8,26,17.2,5.5,5.5
2023/5/20,18.5,22.6,16.4,4,4
2023/5/21,20.6,26.5,15.2,0,0
2023/5/22,22.1,28.3,15.9,0.5,0.5
2023/5/23,13.9,16.2,12.9,21,21
2023/5/24,17.6,23.7,11.7,0,0
2023/5/25,18.6,24.9,13.6,0,0
2023/5/26,20.1,25.5,15.1,0,0
2023/5/27,21.2,26.7,16.5,0,0
2023/5/28,21.1,25,17.7,0,0
2023/5/29,20.3,22.2,19.3,18.5,18.5
2023/5/30,21.1,25.3,19.3,1,1
2023/5/31,19,21.1,15.5,0,0
2023/6/1,20.4,25.3,13.5,0,0
2023/6/2,21.7,25.1,19.6,104.5,104.5
2023/6/3,19.6,23.1,16.9,130.5,130.5
2023/6/4,21.4,27.1,14.5,0,0
2023/6/5,22.7,29.1,17.6,0,0
2023/6/6,20.3,24.5,16.4,10,10
2023/6/7,22.1,28.2,17.1,7,7
2023/6/8,22.8,28.8,17.7,1,1
2023/6/9,20.9,22.7,18.7,30,30
2023/6/10,21.8,25.5,19.3,0,0
2023/6/11,21.1,23.6,19.8,11,11
2023/6/12,21.1,22.1,20.2,6,6
2023/6/13,23.4,29.5,19.7,0,0
2023/6/14,23.4,28,21,0.5,0.5
2023/6/15,21.7,24.4,20.3,6.5,6.5
2023/6/16,24.1,30.8,19.9,0.5,0.5
2023/6/17,24.6,30.9,17.6,0,0
2023/6/18,25,29.7,21.6,0,0
2023/6/19,23,27,20,0,0
2023/6/20,21.9,26.4,19.4,0,0
2023/6/21,22,27,17.6,0,0
2023/6/22,20.1,23.5,16.8,6,6
2023/6/23,20.6,24.3,16.9,0,0
2023/6/24,24.3,29.1,20.8,0,0
2023/6/25,24.8,31.3,21.1,0,0
2023/6/26,25.4,31,21.3,0,0
2023/6/27,25.6,30.1,22.3,0,0
2023/6/28,26.7,32,23.8,0,0
2023/6/29,27.4,32.1,23.6,0,0
2023/6/30,26.2,29.4,24.7,0.5,0.5
2023/7/1,25.1,27.5,23,13,13
2023/7/2,25.8,32.6,21.1,3.5,3.5
2023/7/3,26.8,31.8,23.9,0,0
2023/7/4,25.6,29.4,22.7,0.5,0.5
2023/7/5,25.1,29.7,22.3,0,0
2023/7/6,25.6,31.4,21.8,16.5,16.5
2023/7/7,28.1,35.3,23.7,0,0
2023/7/8,26.9,30.9,25.1,0.5,0.5
2023/7/9,27.4,31.2,25.5,0,0
2023/7/10,28.7,33.6,25.5,0,0
2023/7/11,29.4,34.7,24.7,0,0
2023/7/12,29,34.3,24.8,0,0
2023/7/13,27.7,30.7,25.9,0,0
2023/7/14,26.9,31.2,23.9,0,0
2023/7/15,27.7,31.2,26.3,0,0
2023/7/16,29.4,34.7,26.1,0,0
2023/7/17,30.9,36.9,25.1,0,0
2023/7/18,30.6,37.7,25.7,0,0
2023/7/19,28.7,34.8,24.8,0,0
2023/7/20,27.7,32.5,24.4,0,0
2023/7/21,26.2,30.6,23.4,0,0
2023/7/22,26.6,31.3,22.9,0,0
2023/7/23,26.9,34.4,22.4,0,0
2023/7/24,28.3,34.7,23.2,0,0
2023/7/25,29.7,37.5,24.4,0,0
2023/7/26,30.4,38.4,24.3,0,0
2023/7/27,30.1,37.2,26.8,0,0
2023/7/28,29.6,35,26.4,0,0
2023/7/29,29.5,34.4,25.8,0,0
2023/7/30,30,35.2,26.4,0,0
2023/7/31,29.8,34.5,27.3,0,0
2023/8/1,27.2,33.6,25.2,1,1
2023/8/2,29.3,34.3,25.1,0,0
2023/8/3,29.6,33.8,27.3,0,0
2023/8/4,30.3,35.5,27.5,0,0
2023/8/5,30,33.7,27.6,0,0
2023/8/6,28.3,33.7,26.1,33,33
2023/8/7,29.2,34.3,25.6,0,0
2023/8/8,28.4,33.3,26,23,23
2023/8/9,28,33.6,26.4,22.5,22.5
2023/8/10,28.7,33.7,25.3,0,0
2023/8/11,28.5,32.9,25.5,0,0
2023/8/12,28.9,34.3,25.5,0,0
2023/8/13,27.6,31,26.1,17.5,17.5
2023/8/14,28.8,32.7,25.8,1.5,1.5
2023/8/15,29,33.7,25.5,9,9
2023/8/16,29.2,32.6,26.7,0,0
2023/8/17,29.5,33.6,27.1,0,0
2023/8/18,29.9,34.3,27.2,0,0
2023/8/19,30.2,35.6,26.6,0,0
2023/8/20,30.1,35.9,26.3,0,0
2023/8/21,29.4,34.5,26,0,0
2023/8/22,29.1,34.6,26.7,3.5,3.5
2023/8/23,28.3,31.6,26.3,7,7
2023/8/24,29.3,33.3,26.2,0,0
2023/8/25,29.7,34.3,26.7,0,0
2023/8/26,28.4,32.2,25.8,4,4
2023/8/27,27.5,32,24.8,1.5,1.5
2023/8/28,29,33.9,25.9,0,0
2023/8/29,29.7,34.6,26.9,0,0
2023/8/30,29.4,34,26.2,0,0
2023/8/31,29.1,34,26.3,0,0
2023/9/1,29.3,33.8,25.9,0,0
2023/9/2,29.6,35.2,26.5,0,0
2023/9/3,28.3,33,25,3.5,3.5
2023/9/4,26.6,29.8,25.1,21,21
2023/9/5,28.7,32.3,26,0,0
2023/9/6,27,31.4,24,23.5,23.5
2023/9/7,26.2,29.8,23.6,0,0
2023/9/8,22.4,25,19.8,145,145
2023/9/9,25.7,29.9,21.8,14.5,14.5
2023/9/10,27.9,31.8,24.6,0,0
2023/9/11,27.8,31.8,24.6,1,1
2023/9/12,27,31.2,23.1,0,0
2023/9/13,27.1,33.9,21.6,0,0
2023/9/14,28.1,32.6,24.3,0,0
2023/9/15,28.5,34.1,25.8,0,0
2023/9/16,28.3,33.4,25.4,0,0
2023/9/17,28.8,33.1,25.4,0,0
2023/9/18,28.9,32.5,26.9,0,0
2023/9/19,28.7,32.1,26.4,0,0
2023/9/20,27.5,32.7,23.7,0,0
2023/9/21,26.9,28.7,24,1,1
2023/9/22,25.5,28.3,21.6,27.5,27.5
2023/9/23,21.8,23.5,20.5,4,4
2023/9/24,21.8,25.5,19.2,0,0
2023/9/25,21.7,27.1,16.9,0,0
2023/9/26,24,28.4,19.9,0,0
2023/9/27,25.1,30.1,22,0,0
2023/9/28,26.5,31.8,22.6,0,0
2023/9/29,26.1,28.5,24.5,0,0
2023/9/30,25.7,28.6,22.7,0.5,0.5
2023/10/1,25.6,28.7,22.4,0,0
2023/10/2,22.7,26.5,19.8,0,0
2023/10/3,22,26.9,17.3,0,0
2023/10/4,19.2,21.3,17.9,5,5
2023/10/5,20.2,25.6,17.4,0.5,0.5
2023/10/6,20.4,25.6,16,0,0
2023/10/7,20.2,25,16.2,0,0
2023/10/8,17.8,22.1,13.7,0,0
2023/10/9,16,18.1,14,38,38
2023/10/10,19.7,25.7,16.5,17,17
2023/10/11,18.9,23.5,15,0,0
2023/10/12,18.2,23.2,13.6,0,0
2023/10/13,17.5,23,13.4,0,0
2023/10/14,18.5,23.3,12.1,0,0
2023/10/15,15.5,19.2,13.9,41,41
2023/10/16,18.6,25.7,12,0,0
2023/10/17,19.5,25.6,14.2,0,0
2023/10/18,18.6,24.4,13.1,0,0
2023/10/19,20.2,25.1,14.3,0,0
2023/10/20,21.8,25.5,15.6,0,0
2023/10/21,18.5,21.6,13.2,1.5,1.5
2023/10/22,15,20.2,9.8,0,0
2023/10/23,16.2,22.6,9.8,0,0
2023/10/24,17.5,23.8,12.3,0,0
2023/10/25,17.5,21.9,13.5,0,0
2023/10/26,17.4,23.8,12.8,0,0
2023/10/27,17.3,24,12.6,0,0
2023/10/28,16.8,21.2,13.2,0,0
2023/10/29,16.1,20,13.1,2.5,2.5
2023/10/30,16.6,21.8,11.8,0,0
2023/10/31,17.1,21.5,12.8,0,0
2023/11/1,18,23.1,12.3,0,0
2023/11/2,17.9,25.2,12.4,0,0
2023/11/3,18.7,24.3,13.2,0,0
2023/11/4,19.6,24.8,13.3,0,0
2023/11/5,19.5,23.9,16.5,0,0
2023/11/6,20.9,24.7,16.4,1,1
2023/11/7,22.2,26.2,16.4,0.5,0.5
2023/11/8,16.1,21.2,11.8,0,0
2023/11/9,16.3,21.8,11.6,0,0
2023/11/10,15.4,18,13.5,5,5
2023/11/11,13.4,15.4,9.8,0,0
2023/11/12,9.4,10.1,8.3,2,2
2023/11/13,10.6,15.4,6.9,0,0
2023/11/14,12.2,18.2,5.3,0,0
2023/11/15,11.2,13.8,8.9,0,0
2023/11/16,12.4,18.1,6.8,0,0
2023/11/17,11.9,15.2,9.8,35,35
